TEAM_NAME,OPP_TEAM_NAME,SEASON,TEAM_OFF_RATING,TEAM_DEF_RATING,TEAM_PACE,OPP_OFF_RATING,OPP_DEF_RATING,OPP_PACE,ORTG_DIFF,DRTG_DIFF,PACE_DIFF,WON
New Orleans Pelicans,Golden State Warriors,2017-18,108.5,107.4,101.48,112.8,106.8,100.35,-4.299999999999997,0.6000000000000085,1.1300000000000097,1
Golden State Warriors,New Orleans Pelicans,2017-18,112.8,106.8,100.35,108.5,107.4,101.48,4.299999999999997,-0.6000000000000085,-1.1300000000000097,0
Houston Rockets,Utah Jazz,2017-18,114.1,105.7,98.02,107.4,103.0,96.58,6.699999999999989,2.700000000000003,1.4399999999999977,1
Utah Jazz,Houston Rockets,2017-18,107.4,103.0,96.58,114.1,105.7,98.02,-6.699999999999989,-2.700000000000003,-1.4399999999999977,0
Boston Celtics,Philadelphia 76ers,2017-18,106.8,103.2,96.75,108.5,103.9,100.75,-1.7000000000000028,-0.7000000000000028,-4.0,1
Cleveland Cavaliers,Toronto Raptors,2017-18,112.0,111.1,98.72,113.0,105.3,98.02,-1.0,5.799999999999997,0.7000000000000028,1
Philadelphia 76ers,Boston Celtics,2017-18,108.5,103.9,100.75,106.8,103.2,96.75,1.7000000000000028,0.7000000000000028,4.0,0
Toronto Raptors,Cleveland Cavaliers,2017-18,113.0,105.3,98.02,112.0,111.1,98.72,1.0,-5.799999999999997,-0.7000000000000028,0
New Orleans Pelicans,Golden State Warriors,2017-18,108.5,107.4,101.48,112.8,106.8,100.35,-4.299999999999997,0.6000000000000085,1.1300000000000097,0
Golden State Warriors,New Orleans Pelicans,2017-18,112.8,106.8,100.35,108.5,107.4,101.48,4.299999999999997,-0.6000000000000085,-1.1300000000000097,1
Houston Rockets,Utah Jazz,2017-18,114.1,105.7,98.02,107.4,103.0,96.58,6.699999999999989,2.700000000000003,1.4399999999999977,1
Utah Jazz,Houston Rockets,2017-18,107.4,103.0,96.58,114.1,105.7,98.02,-6.699999999999989,-2.700000000000003,-1.4399999999999977,0
Boston Celtics,Philadelphia 76ers,2017-18,106.8,103.2,96.75,108.5,103.9,100.75,-1.7000000000000028,-0.7000000000000028,-4.0,0
Cleveland Cavaliers,Toronto Raptors,2017-18,112.0,111.1,98.72,113.0,105.3,98.02,-1.0,5.799999999999997,0.7000000000000028,1
Philadelphia 76ers,Boston Celtics,2017-18,108.5,103.9,100.75,106.8,103.2,96.75,1.7000000000000028,0.7000000000000028,4.0,1
Toronto Raptors,Cleveland Cavaliers,2017-18,113.0,105.3,98.02,112.0,111.1,98.72,1.0,-5.799999999999997,-0.7000000000000028,0
New Orleans Pelicans,Golden State Warriors,2017-18,108.5,107.4,101.48,112.8,106.8,100.35,-4.299999999999997,0.6000000000000085,1.1300000000000097,0
Golden State Warriors,New Orleans Pelicans,2017-18,112.8,106.8,100.35,108.5,107.4,101.48,4.299999999999997,-0.6000000000000085,-1.1300000000000097,1
Houston Rockets,Utah Jazz,2017-18,114.1,105.7,98.02,107.4,103.0,96.58,6.699999999999989,2.700000000000003,1.4399999999999977,1
Utah Jazz,Houston Rockets,2017-18,107.4,103.0,96.58,114.1,105.7,98.02,-6.699999999999989,-2.700000000000003,-1.4399999999999977,0
Boston Celtics,Philadelphia 76ers,2017-18,106.8,103.2,96.75,108.5,103.9,100.75,-1.7000000000000028,-0.7000000000000028,-4.0,1
Philadelphia 76ers,Boston Celtics,2017-18,108.5,103.9,100.75,106.8,103.2,96.75,1.7000000000000028,0.7000000000000028,4.0,0
Boston Celtics,Cleveland Cavaliers,2017-18,106.8,103.2,96.75,112.0,111.1,98.72,-5.200000000000003,-7.8999999999999915,-1.9699999999999989,1
Cleveland Cavaliers,Boston Celtics,2017-18,112.0,111.1,98.72,106.8,103.2,96.75,5.200000000000003,7.8999999999999915,1.9699999999999989,0
Golden State Warriors,Houston Rockets,2017-18,112.8,106.8,100.35,114.1,105.7,98.02,-1.2999999999999972,1.0999999999999943,2.3299999999999983,1
Houston Rockets,Golden State Warriors,2017-18,114.1,105.7,98.02,112.8,106.8,100.35,1.2999999999999972,-1.0999999999999943,-2.3299999999999983,0
Boston Celtics,Cleveland Cavaliers,2017-18,106.8,103.2,96.75,112.0,111.1,98.72,-5.200000000000003,-7.8999999999999915,-1.9699999999999989,1
Cleveland Cavaliers,Boston Celtics,2017-18,112.0,111.1,98.72,106.8,103.2,96.75,5.200000000000003,7.8999999999999915,1.9699999999999989,0
Golden State Warriors,Houston Rockets,2017-18,112.8,106.8,100.35,114.1,105.7,98.02,-1.2999999999999972,1.0999999999999943,2.3299999999999983,0
Houston Rockets,Golden State Warriors,2017-18,114.1,105.7,98.02,112.8,106.8,100.35,1.2999999999999972,-1.0999999999999943,-2.3299999999999983,1
Boston Celtics,Cleveland Cavaliers,2017-18,106.8,103.2,96.75,112.0,111.1,98.72,-5.200000000000003,-7.8999999999999915,-1.9699999999999989,0
Cleveland Cavaliers,Boston Celtics,2017-18,112.0,111.1,98.72,106.8,103.2,96.75,5.200000000000003,7.8999999999999915,1.9699999999999989,1
Golden State Warriors,Houston Rockets,2017-18,112.8,106.8,100.35,114.1,105.7,98.02,-1.2999999999999972,1.0999999999999943,2.3299999999999983,1
Houston Rockets,Golden State Warriors,2017-18,114.1,105.7,98.02,112.8,106.8,100.35,1.2999999999999972,-1.0999999999999943,-2.3299999999999983,0
Boston Celtics,Cleveland Cavaliers,2017-18,106.8,103.2,96.75,112.0,111.1,98.72,-5.200000000000003,-7.8999999999999915,-1.9699999999999989,0
Cleveland Cavaliers,Boston Celtics,2017-18,112.0,111.1,98.72,106.8,103.2,96.75,5.200000000000003,7.8999999999999915,1.9699999999999989,1
Golden State Warriors,Houston Rockets,2017-18,112.8,106.8,100.35,114.1,105.7,98.02,-1.2999999999999972,1.0999999999999943,2.3299999999999983,0
Houston Rockets,Golden State Warriors,2017-18,114.1,105.7,98.02,112.8,106.8,100.35,1.2999999999999972,-1.0999999999999943,-2.3299999999999983,1
Boston Celtics,Cleveland Cavaliers,2017-18,106.8,103.2,96.75,112.0,111.1,98.72,-5.200000000000003,-7.8999999999999915,-1.9699999999999989,1
Cleveland Cavaliers,Boston Celtics,2017-18,112.0,111.1,98.72,106.8,103.2,96.75,5.200000000000003,7.8999999999999915,1.9699999999999989,0
Golden State Warriors,Houston Rockets,2017-18,112.8,106.8,100.35,114.1,105.7,98.02,-1.2999999999999972,1.0999999999999943,2.3299999999999983,0
Houston Rockets,Golden State Warriors,2017-18,114.1,105.7,98.02,112.8,106.8,100.35,1.2999999999999972,-1.0999999999999943,-2.3299999999999983,1
Boston Celtics,Cleveland Cavaliers,2017-18,106.8,103.2,96.75,112.0,111.1,98.72,-5.200000000000003,-7.8999999999999915,-1.9699999999999989,0
Cleveland Cavaliers,Boston Celtics,2017-18,112.0,111.1,98.72,106.8,103.2,96.75,5.200000000000003,7.8999999999999915,1.9699999999999989,1
Golden State Warriors,Houston Rockets,2017-18,112.8,106.8,100.35,114.1,105.7,98.02,-1.2999999999999972,1.0999999999999943,2.3299999999999983,1
Houston Rockets,Golden State Warriors,2017-18,114.1,105.7,98.02,112.8,106.8,100.35,1.2999999999999972,-1.0999999999999943,-2.3299999999999983,0
Boston Celtics,Cleveland Cavaliers,2017-18,106.8,103.2,96.75,112.0,111.1,98.72,-5.200000000000003,-7.8999999999999915,-1.9699999999999989,0
Cleveland Cavaliers,Boston Celtics,2017-18,112.0,111.1,98.72,106.8,103.2,96.75,5.200000000000003,7.8999999999999915,1.9699999999999989,1
Golden State Warriors,Houston Rockets,2017-18,112.8,106.8,100.35,114.1,105.7,98.02,-1.2999999999999972,1.0999999999999943,2.3299999999999983,1
Houston Rockets,Golden State Warriors,2017-18,114.1,105.7,98.02,112.8,106.8,100.35,1.2999999999999972,-1.0999999999999943,-2.3299999999999983,0
Cleveland Cavaliers,Golden State Warriors,2017-18,112.0,111.1,98.72,112.8,106.8,100.35,-0.7999999999999972,4.299999999999997,-1.6299999999999955,0
Golden State Warriors,Cleveland Cavaliers,2017-18,112.8,106.8,100.35,112.0,111.1,98.72,0.7999999999999972,-4.299999999999997,1.6299999999999955,1
Cleveland Cavaliers,Golden State Warriors,2017-18,112.0,111.1,98.72,112.8,106.8,100.35,-0.7999999999999972,4.299999999999997,-1.6299999999999955,0
Golden State Warriors,Cleveland Cavaliers,2017-18,112.8,106.8,100.35,112.0,111.1,98.72,0.7999999999999972,-4.299999999999997,1.6299999999999955,1
Cleveland Cavaliers,Golden State Warriors,2017-18,112.0,111.1,98.72,112.8,106.8,100.35,-0.7999999999999972,4.299999999999997,-1.6299999999999955,0
Golden State Warriors,Cleveland Cavaliers,2017-18,112.8,106.8,100.35,112.0,111.1,98.72,0.7999999999999972,-4.299999999999997,1.6299999999999955,1
Cleveland Cavaliers,Golden State Warriors,2017-18,112.0,111.1,98.72,112.8,106.8,100.35,-0.7999999999999972,4.299999999999997,-1.6299999999999955,0
Golden State Warriors,Cleveland Cavaliers,2017-18,112.8,106.8,100.35,112.0,111.1,98.72,0.7999999999999972,-4.299999999999997,1.6299999999999955,1
Denver Nuggets,San Antonio Spurs,2018-19,112.1,108.1,98.49,112.2,110.6,98.88,-0.10000000000000853,-2.5,-0.39000000000000057,0
Golden State Warriors,LA Clippers,2018-19,115.0,108.6,101.74,111.4,110.4,102.66,3.5999999999999943,-1.8000000000000114,-0.9200000000000017,1
LA Clippers,Golden State Warriors,2018-19,111.4,110.4,102.66,115.0,108.6,101.74,-3.5999999999999943,1.8000000000000114,0.9200000000000017,0
Brooklyn Nets,Philadelphia 76ers,2018-19,108.9,109.0,101.52,111.6,109.0,102.59,-2.6999999999999886,0.0,-1.0700000000000074,1
Orlando Magic,Toronto Raptors,2018-19,108.2,107.6,98.65,112.6,106.8,100.51,-4.3999999999999915,0.7999999999999972,-1.8599999999999994,1
Philadelphia 76ers,Brooklyn Nets,2018-19,111.6,109.0,102.59,108.9,109.0,101.52,2.6999999999999886,0.0,1.0700000000000074,0
San Antonio Spurs,Denver Nuggets,2018-19,112.2,110.6,98.88,112.1,108.1,98.49,0.10000000000000853,2.5,0.39000000000000057,1
Toronto Raptors,Orlando Magic,2018-19,112.6,106.8,100.51,108.2,107.6,98.65,4.3999999999999915,-0.7999999999999972,1.8599999999999994,0
Boston Celtics,Indiana Pacers,2018-19,111.3,107.0,100.43,109.4,106.0,98.64,1.8999999999999915,1.0,1.7900000000000063,1
Houston Rockets,Utah Jazz,2018-19,114.9,110.1,98.39,110.3,105.3,100.84,4.6000000000000085,4.799999999999997,-2.450000000000003,1
Milwaukee Bucks,Detroit Pistons,2018-19,113.5,104.9,103.57,108.4,108.7,97.88,5.099999999999994,-3.799999999999997,5.689999999999998,1
Indiana Pacers,Boston Celtics,2018-19,109.4,106.0,98.64,111.3,107.0,100.43,-1.8999999999999915,-1.0,-1.7900000000000063,0
Portland Trail Blazers,Oklahoma City Thunder,2018-19,113.7,109.5,99.96,109.8,106.5,103.38,3.9000000000000057,3.0,-3.4200000000000017,1
Oklahoma City Thunder,Portland Trail Blazers,2018-19,109.8,106.5,103.38,113.7,109.5,99.96,-3.9000000000000057,-3.0,3.4200000000000017,0
Utah Jazz,Houston Rockets,2018-19,110.3,105.3,100.84,114.9,110.1,98.39,-4.6000000000000085,-4.799999999999997,2.450000000000003,0
Detroit Pistons,Milwaukee Bucks,2018-19,108.4,108.7,97.88,113.5,104.9,103.57,-5.099999999999994,3.799999999999997,-5.689999999999998,0
Golden State Warriors,LA Clippers,2018-19,115.0,108.6,101.74,111.4,110.4,102.66,3.5999999999999943,-1.8000000000000114,-0.9200000000000017,0
LA Clippers,Golden State Warriors,2018-19,111.4,110.4,102.66,115.0,108.6,101.74,-3.5999999999999943,1.8000000000000114,0.9200000000000017,1
Brooklyn Nets,Philadelphia 76ers,2018-19,108.9,109.0,101.52,111.6,109.0,102.59,-2.6999999999999886,0.0,-1.0700000000000074,0
Philadelphia 76ers,Brooklyn Nets,2018-19,111.6,109.0,102.59,108.9,109.0,101.52,2.6999999999999886,0.0,1.0700000000000074,1
Denver Nuggets,San Antonio Spurs,2018-19,112.1,108.1,98.49,112.2,110.6,98.88,-0.10000000000000853,-2.5,-0.39000000000000057,1
Orlando Magic,Toronto Raptors,2018-19,108.2,107.6,98.65,112.6,106.8,100.51,-4.3999999999999915,0.7999999999999972,-1.8599999999999994,0
Portland Trail Blazers,Oklahoma City Thunder,2018-19,113.7,109.5,99.96,109.8,106.5,103.38,3.9000000000000057,3.0,-3.4200000000000017,1
San Antonio Spurs,Denver Nuggets,2018-19,112.2,110.6,98.88,112.1,108.1,98.49,0.10000000000000853,2.5,0.39000000000000057,0
Oklahoma City Thunder,Portland Trail Blazers,2018-19,109.8,106.5,103.38,113.7,109.5,99.96,-3.9000000000000057,-3.0,3.4200000000000017,0
Toronto Raptors,Orlando Magic,2018-19,112.6,106.8,100.51,108.2,107.6,98.65,4.3999999999999915,-0.7999999999999972,1.8599999999999994,1
Boston Celtics,Indiana Pacers,2018-19,111.3,107.0,100.43,109.4,106.0,98.64,1.8999999999999915,1.0,1.7900000000000063,1
Houston Rockets,Utah Jazz,2018-19,114.9,110.1,98.39,110.3,105.3,100.84,4.6000000000000085,4.799999999999997,-2.450000000000003,1
Milwaukee Bucks,Detroit Pistons,2018-19,113.5,104.9,103.57,108.4,108.7,97.88,5.099999999999994,-3.799999999999997,5.689999999999998,1
Indiana Pacers,Boston Celtics,2018-19,109.4,106.0,98.64,111.3,107.0,100.43,-1.8999999999999915,-1.0,-1.7900000000000063,0
Utah Jazz,Houston Rockets,2018-19,110.3,105.3,100.84,114.9,110.1,98.39,-4.6000000000000085,-4.799999999999997,2.450000000000003,0
Detroit Pistons,Milwaukee Bucks,2018-19,108.4,108.7,97.88,113.5,104.9,103.57,-5.099999999999994,3.799999999999997,-5.689999999999998,0
Denver Nuggets,San Antonio Spurs,2018-19,112.1,108.1,98.49,112.2,110.6,98.88,-0.10000000000000853,-2.5,-0.39000000000000057,0
Golden State Warriors,LA Clippers,2018-19,115.0,108.6,101.74,111.4,110.4,102.66,3.5999999999999943,-1.8000000000000114,-0.9200000000000017,1
LA Clippers,Golden State Warriors,2018-19,111.4,110.4,102.66,115.0,108.6,101.74,-3.5999999999999943,1.8000000000000114,0.9200000000000017,0
Brooklyn Nets,Philadelphia 76ers,2018-19,108.9,109.0,101.52,111.6,109.0,102.59,-2.6999999999999886,0.0,-1.0700000000000074,0
Philadelphia 76ers,Brooklyn Nets,2018-19,111.6,109.0,102.59,108.9,109.0,101.52,2.6999999999999886,0.0,1.0700000000000074,1
San Antonio Spurs,Denver Nuggets,2018-19,112.2,110.6,98.88,112.1,108.1,98.49,0.10000000000000853,2.5,0.39000000000000057,1
Boston Celtics,Indiana Pacers,2018-19,111.3,107.0,100.43,109.4,106.0,98.64,1.8999999999999915,1.0,1.7900000000000063,1
Orlando Magic,Toronto Raptors,2018-19,108.2,107.6,98.65,112.6,106.8,100.51,-4.3999999999999915,0.7999999999999972,-1.8599999999999994,0
Indiana Pacers,Boston Celtics,2018-19,109.4,106.0,98.64,111.3,107.0,100.43,-1.8999999999999915,-1.0,-1.7900000000000063,0
Portland Trail Blazers,Oklahoma City Thunder,2018-19,113.7,109.5,99.96,109.8,106.5,103.38,3.9000000000000057,3.0,-3.4200000000000017,0
Oklahoma City Thunder,Portland Trail Blazers,2018-19,109.8,106.5,103.38,113.7,109.5,99.96,-3.9000000000000057,-3.0,3.4200000000000017,1
Toronto Raptors,Orlando Magic,2018-19,112.6,106.8,100.51,108.2,107.6,98.65,4.3999999999999915,-0.7999999999999972,1.8599999999999994,1
Denver Nuggets,San Antonio Spurs,2018-19,112.1,108.1,98.49,112.2,110.6,98.88,-0.10000000000000853,-2.5,-0.39000000000000057,1
Houston Rockets,Utah Jazz,2018-19,114.9,110.1,98.39,110.3,105.3,100.84,4.6000000000000085,4.799999999999997,-2.450000000000003,1
Milwaukee Bucks,Detroit Pistons,2018-19,113.5,104.9,103.57,108.4,108.7,97.88,5.099999999999994,-3.799999999999997,5.689999999999998,1
Brooklyn Nets,Philadelphia 76ers,2018-19,108.9,109.0,101.52,111.6,109.0,102.59,-2.6999999999999886,0.0,-1.0700000000000074,0
Philadelphia 76ers,Brooklyn Nets,2018-19,111.6,109.0,102.59,108.9,109.0,101.52,2.6999999999999886,0.0,1.0700000000000074,1
San Antonio Spurs,Denver Nuggets,2018-19,112.2,110.6,98.88,112.1,108.1,98.49,0.10000000000000853,2.5,0.39000000000000057,0
Utah Jazz,Houston Rockets,2018-19,110.3,105.3,100.84,114.9,110.1,98.39,-4.6000000000000085,-4.799999999999997,2.450000000000003,0
Detroit Pistons,Milwaukee Bucks,2018-19,108.4,108.7,97.88,113.5,104.9,103.57,-5.099999999999994,3.799999999999997,-5.689999999999998,0
Boston Celtics,Indiana Pacers,2018-19,111.3,107.0,100.43,109.4,106.0,98.64,1.8999999999999915,1.0,1.7900000000000063,1
Golden State Warriors,LA Clippers,2018-19,115.0,108.6,101.74,111.4,110.4,102.66,3.5999999999999943,-1.8000000000000114,-0.9200000000000017,1
LA Clippers,Golden State Warriors,2018-19,111.4,110.4,102.66,115.0,108.6,101.74,-3.5999999999999943,1.8000000000000114,0.9200000000000017,0
Orlando Magic,Toronto Raptors,2018-19,108.2,107.6,98.65,112.6,106.8,100.51,-4.3999999999999915,0.7999999999999972,-1.8599999999999994,0
Indiana Pacers,Boston Celtics,2018-19,109.4,106.0,98.64,111.3,107.0,100.43,-1.8999999999999915,-1.0,-1.7900000000000063,0
Portland Trail Blazers,Oklahoma City Thunder,2018-19,113.7,109.5,99.96,109.8,106.5,103.38,3.9000000000000057,3.0,-3.4200000000000017,1
Oklahoma City Thunder,Portland Trail Blazers,2018-19,109.8,106.5,103.38,113.7,109.5,99.96,-3.9000000000000057,-3.0,3.4200000000000017,0
Toronto Raptors,Orlando Magic,2018-19,112.6,106.8,100.51,108.2,107.6,98.65,4.3999999999999915,-0.7999999999999972,1.8599999999999994,1
Houston Rockets,Utah Jazz,2018-19,114.9,110.1,98.39,110.3,105.3,100.84,4.6000000000000085,4.799999999999997,-2.450000000000003,0
Milwaukee Bucks,Detroit Pistons,2018-19,113.5,104.9,103.57,108.4,108.7,97.88,5.099999999999994,-3.799999999999997,5.689999999999998,1
Utah Jazz,Houston Rockets,2018-19,110.3,105.3,100.84,114.9,110.1,98.39,-4.6000000000000085,-4.799999999999997,2.450000000000003,1
Detroit Pistons,Milwaukee Bucks,2018-19,108.4,108.7,97.88,113.5,104.9,103.57,-5.099999999999994,3.799999999999997,-5.689999999999998,0
Denver Nuggets,San Antonio Spurs,2018-19,112.1,108.1,98.49,112.2,110.6,98.88,-0.10000000000000853,-2.5,-0.39000000000000057,1
Brooklyn Nets,Philadelphia 76ers,2018-19,108.9,109.0,101.52,111.6,109.0,102.59,-2.6999999999999886,0.0,-1.0700000000000074,0
Orlando Magic,Toronto Raptors,2018-19,108.2,107.6,98.65,112.6,106.8,100.51,-4.3999999999999915,0.7999999999999972,-1.8599999999999994,0
Philadelphia 76ers,Brooklyn Nets,2018-19,111.6,109.0,102.59,108.9,109.0,101.52,2.6999999999999886,0.0,1.0700000000000074,1
Portland Trail Blazers,Oklahoma City Thunder,2018-19,113.7,109.5,99.96,109.8,106.5,103.38,3.9000000000000057,3.0,-3.4200000000000017,1
San Antonio Spurs,Denver Nuggets,2018-19,112.2,110.6,98.88,112.1,108.1,98.49,0.10000000000000853,2.5,0.39000000000000057,0
Oklahoma City Thunder,Portland Trail Blazers,2018-19,109.8,106.5,103.38,113.7,109.5,99.96,-3.9000000000000057,-3.0,3.4200000000000017,0
Toronto Raptors,Orlando Magic,2018-19,112.6,106.8,100.51,108.2,107.6,98.65,4.3999999999999915,-0.7999999999999972,1.8599999999999994,1
Golden State Warriors,LA Clippers,2018-19,115.0,108.6,101.74,111.4,110.4,102.66,3.5999999999999943,-1.8000000000000114,-0.9200000000000017,0
Houston Rockets,Utah Jazz,2018-19,114.9,110.1,98.39,110.3,105.3,100.84,4.6000000000000085,4.799999999999997,-2.450000000000003,1
LA Clippers,Golden State Warriors,2018-19,111.4,110.4,102.66,115.0,108.6,101.74,-3.5999999999999943,1.8000000000000114,0.9200000000000017,1
Utah Jazz,Houston Rockets,2018-19,110.3,105.3,100.84,114.9,110.1,98.39,-4.6000000000000085,-4.799999999999997,2.450000000000003,0
Denver Nuggets,San Antonio Spurs,2018-19,112.1,108.1,98.49,112.2,110.6,98.88,-0.10000000000000853,-2.5,-0.39000000000000057,0
San Antonio Spurs,Denver Nuggets,2018-19,112.2,110.6,98.88,112.1,108.1,98.49,0.10000000000000853,2.5,0.39000000000000057,1
Golden State Warriors,LA Clippers,2018-19,115.0,108.6,101.74,111.4,110.4,102.66,3.5999999999999943,-1.8000000000000114,-0.9200000000000017,1
LA Clippers,Golden State Warriors,2018-19,111.4,110.4,102.66,115.0,108.6,101.74,-3.5999999999999943,1.8000000000000114,0.9200000000000017,0
Denver Nuggets,San Antonio Spurs,2018-19,112.1,108.1,98.49,112.2,110.6,98.88,-0.10000000000000853,-2.5,-0.39000000000000057,1
Philadelphia 76ers,Toronto Raptors,2018-19,111.6,109.0,102.59,112.6,106.8,100.51,-1.0,2.200000000000003,2.0799999999999983,0
San Antonio Spurs,Denver Nuggets,2018-19,112.2,110.6,98.88,112.1,108.1,98.49,0.10000000000000853,2.5,0.39000000000000057,0
Toronto Raptors,Philadelphia 76ers,2018-19,112.6,106.8,100.51,111.6,109.0,102.59,1.0,-2.200000000000003,-2.0799999999999983,1
Boston Celtics,Milwaukee Bucks,2018-19,111.3,107.0,100.43,113.5,104.9,103.57,-2.200000000000003,2.0999999999999943,-3.1399999999999864,1
Golden State Warriors,Houston Rockets,2018-19,115.0,108.6,101.74,114.9,110.1,98.39,0.09999999999999432,-1.5,3.3499999999999943,1
Houston Rockets,Golden State Warriors,2018-19,114.9,110.1,98.39,115.0,108.6,101.74,-0.09999999999999432,1.5,-3.3499999999999943,0
Milwaukee Bucks,Boston Celtics,2018-19,113.5,104.9,103.57,111.3,107.0,100.43,2.200000000000003,-2.0999999999999943,3.1399999999999864,0
Denver Nuggets,Portland Trail Blazers,2018-19,112.1,108.1,98.49,113.7,109.5,99.96,-1.6000000000000085,-1.4000000000000057,-1.4699999999999989,1
Philadelphia 76ers,Toronto Raptors,2018-19,111.6,109.0,102.59,112.6,106.8,100.51,-1.0,2.200000000000003,2.0799999999999983,1
Portland Trail Blazers,Denver Nuggets,2018-19,113.7,109.5,99.96,112.1,108.1,98.49,1.6000000000000085,1.4000000000000057,1.4699999999999989,0
Toronto Raptors,Philadelphia 76ers,2018-19,112.6,106.8,100.51,111.6,109.0,102.59,1.0,-2.200000000000003,-2.0799999999999983,0
Boston Celtics,Milwaukee Bucks,2018-19,111.3,107.0,100.43,113.5,104.9,103.57,-2.200000000000003,2.0999999999999943,-3.1399999999999864,0
Golden State Warriors,Houston Rockets,2018-19,115.0,108.6,101.74,114.9,110.1,98.39,0.09999999999999432,-1.5,3.3499999999999943,1
Houston Rockets,Golden State Warriors,2018-19,114.9,110.1,98.39,115.0,108.6,101.74,-0.09999999999999432,1.5,-3.3499999999999943,0
Milwaukee Bucks,Boston Celtics,2018-19,113.5,104.9,103.57,111.3,107.0,100.43,2.200000000000003,-2.0999999999999943,3.1399999999999864,1
Denver Nuggets,Portland Trail Blazers,2018-19,112.1,108.1,98.49,113.7,109.5,99.96,-1.6000000000000085,-1.4000000000000057,-1.4699999999999989,0
Portland Trail Blazers,Denver Nuggets,2018-19,113.7,109.5,99.96,112.1,108.1,98.49,1.6000000000000085,1.4000000000000057,1.4699999999999989,1
Philadelphia 76ers,Toronto Raptors,2018-19,111.6,109.0,102.59,112.6,106.8,100.51,-1.0,2.200000000000003,2.0799999999999983,1
Toronto Raptors,Philadelphia 76ers,2018-19,112.6,106.8,100.51,111.6,109.0,102.59,1.0,-2.200000000000003,-2.0799999999999983,0
Boston Celtics,Milwaukee Bucks,2018-19,111.3,107.0,100.43,113.5,104.9,103.57,-2.200000000000003,2.0999999999999943,-3.1399999999999864,0
Denver Nuggets,Portland Trail Blazers,2018-19,112.1,108.1,98.49,113.7,109.5,99.96,-1.6000000000000085,-1.4000000000000057,-1.4699999999999989,0
Milwaukee Bucks,Boston Celtics,2018-19,113.5,104.9,103.57,111.3,107.0,100.43,2.200000000000003,-2.0999999999999943,3.1399999999999864,1
Portland Trail Blazers,Denver Nuggets,2018-19,113.7,109.5,99.96,112.1,108.1,98.49,1.6000000000000085,1.4000000000000057,1.4699999999999989,1
Golden State Warriors,Houston Rockets,2018-19,115.0,108.6,101.74,114.9,110.1,98.39,0.09999999999999432,-1.5,3.3499999999999943,0
Houston Rockets,Golden State Warriors,2018-19,114.9,110.1,98.39,115.0,108.6,101.74,-0.09999999999999432,1.5,-3.3499999999999943,1
Denver Nuggets,Portland Trail Blazers,2018-19,112.1,108.1,98.49,113.7,109.5,99.96,-1.6000000000000085,-1.4000000000000057,-1.4699999999999989,1
Philadelphia 76ers,Toronto Raptors,2018-19,111.6,109.0,102.59,112.6,106.8,100.51,-1.0,2.200000000000003,2.0799999999999983,0
Portland Trail Blazers,Denver Nuggets,2018-19,113.7,109.5,99.96,112.1,108.1,98.49,1.6000000000000085,1.4000000000000057,1.4699999999999989,0
Toronto Raptors,Philadelphia 76ers,2018-19,112.6,106.8,100.51,111.6,109.0,102.59,1.0,-2.200000000000003,-2.0799999999999983,1
Boston Celtics,Milwaukee Bucks,2018-19,111.3,107.0,100.43,113.5,104.9,103.57,-2.200000000000003,2.0999999999999943,-3.1399999999999864,0
Golden State Warriors,Houston Rockets,2018-19,115.0,108.6,101.74,114.9,110.1,98.39,0.09999999999999432,-1.5,3.3499999999999943,0
Houston Rockets,Golden State Warriors,2018-19,114.9,110.1,98.39,115.0,108.6,101.74,-0.09999999999999432,1.5,-3.3499999999999943,1
Milwaukee Bucks,Boston Celtics,2018-19,113.5,104.9,103.57,111.3,107.0,100.43,2.200000000000003,-2.0999999999999943,3.1399999999999864,1
Denver Nuggets,Portland Trail Blazers,2018-19,112.1,108.1,98.49,113.7,109.5,99.96,-1.6000000000000085,-1.4000000000000057,-1.4699999999999989,1
Philadelphia 76ers,Toronto Raptors,2018-19,111.6,109.0,102.59,112.6,106.8,100.51,-1.0,2.200000000000003,2.0799999999999983,0
Portland Trail Blazers,Denver Nuggets,2018-19,113.7,109.5,99.96,112.1,108.1,98.49,1.6000000000000085,1.4000000000000057,1.4699999999999989,0
Toronto Raptors,Philadelphia 76ers,2018-19,112.6,106.8,100.51,111.6,109.0,102.59,1.0,-2.200000000000003,-2.0799999999999983,1
Boston Celtics,Milwaukee Bucks,2018-19,111.3,107.0,100.43,113.5,104.9,103.57,-2.200000000000003,2.0999999999999943,-3.1399999999999864,0
Golden State Warriors,Houston Rockets,2018-19,115.0,108.6,101.74,114.9,110.1,98.39,0.09999999999999432,-1.5,3.3499999999999943,1
Houston Rockets,Golden State Warriors,2018-19,114.9,110.1,98.39,115.0,108.6,101.74,-0.09999999999999432,1.5,-3.3499999999999943,0
Milwaukee Bucks,Boston Celtics,2018-19,113.5,104.9,103.57,111.3,107.0,100.43,2.200000000000003,-2.0999999999999943,3.1399999999999864,1
Denver Nuggets,Portland Trail Blazers,2018-19,112.1,108.1,98.49,113.7,109.5,99.96,-1.6000000000000085,-1.4000000000000057,-1.4699999999999989,0
Philadelphia 76ers,Toronto Raptors,2018-19,111.6,109.0,102.59,112.6,106.8,100.51,-1.0,2.200000000000003,2.0799999999999983,1
Portland Trail Blazers,Denver Nuggets,2018-19,113.7,109.5,99.96,112.1,108.1,98.49,1.6000000000000085,1.4000000000000057,1.4699999999999989,1
