TEAM_NAME,OPP_TEAM_NAME,SEASON,TEAM_OFF_RATING,TEAM_DEF_RATING,TEAM_PACE,OPP_OFF_RATING,OPP_DEF_RATING,OPP_PACE,ORTG_DIFF,DRTG_DIFF,PACE_DIFF,WON
Boston Celtics,Atlanta Hawks,2015-16,105.8,102.5,99.43,104.6,100.8,97.63,1.2000000000000028,1.7000000000000028,1.8000000000000114,0
Indiana Pacers,Toronto Raptors,2015-16,103.8,102.2,97.35,109.3,104.8,93.35,-5.5,-2.5999999999999943,4.0,0
Toronto Raptors,Indiana Pacers,2015-16,109.3,104.8,93.35,103.8,102.2,97.35,5.5,2.5999999999999943,-4.0,1
Golden State Warriors,Houston Rockets,2015-16,113.5,102.8,100.24,107.3,107.3,98.42,6.200000000000003,-4.5,1.8199999999999932,1
Houston Rockets,Golden State Warriors,2015-16,107.3,107.3,98.42,113.5,102.8,100.24,-6.200000000000003,4.5,-1.8199999999999932,0
LA Clippers,Portland Trail Blazers,2015-16,107.2,102.7,96.81,107.6,106.8,97.06,-0.3999999999999915,-4.099999999999994,-0.25,0
Miami Heat,Charlotte Hornets,2015-16,105.5,103.7,94.14,106.4,103.7,96.24,-0.9000000000000057,0.0,-2.0999999999999943,0
Portland Trail Blazers,LA Clippers,2015-16,107.6,106.8,97.06,107.2,102.7,96.81,0.3999999999999915,4.099999999999994,0.25,1
Charlotte Hornets,Miami Heat,2015-16,106.4,103.7,96.24,105.5,103.7,94.14,0.9000000000000057,0.0,2.0999999999999943,1
Atlanta Hawks,Boston Celtics,2015-16,104.6,100.8,97.63,105.8,102.5,99.43,-1.2000000000000028,-1.7000000000000028,-1.8000000000000114,1
Boston Celtics,Atlanta Hawks,2015-16,105.8,102.5,99.43,104.6,100.8,97.63,1.2000000000000028,1.7000000000000028,1.8000000000000114,0
LA Clippers,Portland Trail Blazers,2015-16,107.2,102.7,96.81,107.6,106.8,97.06,-0.3999999999999915,-4.099999999999994,-0.25,0
Miami Heat,Charlotte Hornets,2015-16,105.5,103.7,94.14,106.4,103.7,96.24,-0.9000000000000057,0.0,-2.0999999999999943,1
Indiana Pacers,Toronto Raptors,2015-16,103.8,102.2,97.35,109.3,104.8,93.35,-5.5,-2.5999999999999943,4.0,1
Portland Trail Blazers,LA Clippers,2015-16,107.6,106.8,97.06,107.2,102.7,96.81,0.3999999999999915,4.099999999999994,0.25,1
Toronto Raptors,Indiana Pacers,2015-16,109.3,104.8,93.35,103.8,102.2,97.35,5.5,2.5999999999999943,-4.0,0
Charlotte Hornets,Miami Heat,2015-16,106.4,103.7,96.24,105.5,103.7,94.14,0.9000000000000057,0.0,2.0999999999999943,0
San Antonio Spurs,Oklahoma City Thunder,2015-16,109.3,98.2,94.54,112.1,104.8,97.54,-2.799999999999997,-6.599999999999994,-3.0,1
Oklahoma City Thunder,San Antonio Spurs,2015-16,112.1,104.8,97.54,109.3,98.2,94.54,2.799999999999997,6.599999999999994,3.0,0
Golden State Warriors,Portland Trail Blazers,2015-16,113.5,102.8,100.24,107.6,106.8,97.06,5.900000000000006,-4.0,3.1799999999999926,1
Miami Heat,Charlotte Hornets,2015-16,105.5,103.7,94.14,106.4,103.7,96.24,-0.9000000000000057,0.0,-2.0999999999999943,1
Indiana Pacers,Toronto Raptors,2015-16,103.8,102.2,97.35,109.3,104.8,93.35,-5.5,-2.5999999999999943,4.0,0
Portland Trail Blazers,Golden State Warriors,2015-16,107.6,106.8,97.06,113.5,102.8,100.24,-5.900000000000006,4.0,-3.1799999999999926,0
Toronto Raptors,Indiana Pacers,2015-16,109.3,104.8,93.35,103.8,102.2,97.35,5.5,2.5999999999999943,-4.0,1
Charlotte Hornets,Miami Heat,2015-16,106.4,103.7,96.24,105.5,103.7,94.14,0.9000000000000057,0.0,2.0999999999999943,0
Atlanta Hawks,Cleveland Cavaliers,2015-16,104.6,100.8,97.63,110.2,103.9,93.82,-5.6000000000000085,-3.1000000000000085,3.8100000000000023,0
Cleveland Cavaliers,Atlanta Hawks,2015-16,110.2,103.9,93.82,104.6,100.8,97.63,5.6000000000000085,3.1000000000000085,-3.8100000000000023,1
San Antonio Spurs,Oklahoma City Thunder,2015-16,109.3,98.2,94.54,112.1,104.8,97.54,-2.799999999999997,-6.599999999999994,-3.0,0
Oklahoma City Thunder,San Antonio Spurs,2015-16,112.1,104.8,97.54,109.3,98.2,94.54,2.799999999999997,6.599999999999994,3.0,1
Golden State Warriors,Portland Trail Blazers,2015-16,113.5,102.8,100.24,107.6,106.8,97.06,5.900000000000006,-4.0,3.1799999999999926,1
Miami Heat,Toronto Raptors,2015-16,105.5,103.7,94.14,109.3,104.8,93.35,-3.799999999999997,-1.0999999999999943,0.7900000000000063,1
Portland Trail Blazers,Golden State Warriors,2015-16,107.6,106.8,97.06,113.5,102.8,100.24,-5.900000000000006,4.0,-3.1799999999999926,0
Toronto Raptors,Miami Heat,2015-16,109.3,104.8,93.35,105.5,103.7,94.14,3.799999999999997,1.0999999999999943,-0.7900000000000063,0
Atlanta Hawks,Cleveland Cavaliers,2015-16,104.6,100.8,97.63,110.2,103.9,93.82,-5.6000000000000085,-3.1000000000000085,3.8100000000000023,0
Cleveland Cavaliers,Atlanta Hawks,2015-16,110.2,103.9,93.82,104.6,100.8,97.63,5.6000000000000085,3.1000000000000085,-3.8100000000000023,1
